method,pde,dim,mse_domain,mse_boundary,tree_size,rank
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
PI-NSGA-II,Lane-Emden,1,0.0000000045,0.0000000000,6,1
